twitter,last_name,party,DoF,trump_margin
REPJOHNYARMUTH,Yarmuth,Democrat,-0.10624949827943407,-15
REPTHOMASMASSIE,Massie,Republican,2.6245688463159307,35.900000000000006
STEVESCALISE,Scalise,Republican,4.12341789117667,42
REPCLAYHIGGINS,Higgins,Republican,5.643856189774724,38.099999999999994
REPMIKEJOHNSON,Johnson,Republican,4.321928094887363,24
REPABRAHAM,Abraham,Republican,3.169925001442312,29.4
REPMCGOVERN,McGovern,Democrat,-0.3997302464909953,-19.400000000000006
REPLORITRAHAN,Trahan,Democrat,0.6516831806321093,-22.800000000000004
REPJOEKENNEDY,Kennedy,Democrat,1.151858816727005,-24.200000000000003
REPKCLARK,Clark,Democrat,-3.3510744405468786,-43.599999999999994
TEAMMOULTON,Moulton,Democrat,-2,-17.9
REPPRESSLEY,Pressley,Democrat,-3.8996950942043145,-72.19999999999999
REPSTEPHENLYNCH,Lynch,Democrat,-0.18114943910456646,-26
USREPKEATING,Keating,Democrat,-1.2209504471625414,-10.700000000000003
REPANDYHARRISMD,Harris,Republican,3.9068905956085187,28.6
CALL_ME_DUTCH,Ruppersberger,Democrat,0.5210507369009632,-24.4
REPSARBANES,Sarbanes,Democrat,-2,-30.5
REPANTHONYBROWN,Brown,Democrat,-2.244685095954902,-57.5
LEADERHOYER,Hoyer,Democrat,0.16092018818110318,-31.999999999999993
REPDAVIDTRONE,Trone,Democrat,-0.8365012677171204,-15.099999999999994
REPRASKIN,Raskin,Democrat,-2.547931769776189,-34.4
CHELLIEPINGREE,Pingree,Democrat,-0.49005085369568935,-14.800000000000004
REPGOLDEN,Golden,Democrat,3.700439718141092,10.299999999999997
REPJACKBERGMAN,Bergman,Republican,3.807354922057604,21.299999999999997
REPDANKILDEE,Kildee,Democrat,0.20664322398339532,-4.200000000000003
REPFREDUPTON,Upton,Republican,0,8.399999999999999
REPSLOTKIN,Slotkin,Democrat,1,6.700000000000003
REPANDYLEVIN,Levin,Democrat,-1.6574452545226799,-7.799999999999997
REPPAULMITCHELL,Mitchell,Republican,2.700439718141092,32.199999999999996
REPHALEYSTEVENS,Stevens,Democrat,1.584962500721156,4.400000000000006
REPDEBDINGELL,Dingell,Democrat,-1.3770696490798233,-26.299999999999997
REPRASHIDA,Tlaib,Democrat,-3.0588936890535687,-60.699999999999996
REPLAWRENCE,Lawrence,Democrat,-1,-60.900000000000006
REPHAGEDORN,Hagedorn,Republican,2.662889079406225,14.899999999999999
REPDEANPHILLIPS,Phillips,Democrat,1.1699250014423124,-9.399999999999999
BETTYMCCOLLUM04,McCollum,Democrat,-1.2209504471625414,-30.9
ILHAN,Omar,Democrat,-4.795859283219775,-55.2
REPPETESTAUBER,Stauber,Republican,3,15.600000000000001
REPBLAINE,Luetkemeyer,Republican,4,38.99999999999999
REPHARTZLER,Hartzler,Republican,4.857980995127572,36
REPCLEAVER,Cleaver,Democrat,-0.04692104738749257,-13.5
REPSAMGRAVES,Graves,Republican,5.700439718141092,31.400000000000002
REPJASONSMITH,Smith,Republican,3.4918530963296748,54.400000000000006
BENNIEGTHOMPSON,Thompson,Democrat,-1.1140352432460294,-28.5
REPMICHAELGUEST,Guest,Republican,4.643856189774724,24.5
CONGPALAZZO,Palazzo,Republican,3.169925001442312,41.2
GKBUTTERFIELD,Butterfield,Democrat,-1,-37
REPDAVIDEPRICE,Price,Democrat,-0.8520421186128986,-40
REPMARKWALKER,Walker,Republican,3.6724253419714956,14.700000000000003
REPDAVIDROUZER,Rouzer,Republican,3.9068905956085187,17.700000000000003
REPRICHHUDSON,Hudson,Republican,3.273068241653568,15
REPMARKMEADOWS,Meadows,Republican,1.3459640303428717,29.200000000000003
REPADAMS,Adams,Democrat,-1.0409717810563062,-40.00000000000001
REPTEDBUDD,Budd,Republican,3.9068905956085187,9.399999999999999
REPARMSTRONGND,Armstrong,Republican,3.321928094887362,36.39999999999999
JEFFFORTENBERRY,Fortenberry,Republican,3.169925001442312,21.299999999999997
REPDONBACON,Bacon,Republican,1.6521422721366639,2.200000000000003
REPADRIANSMITH,Smith,Republican,4.087462841250339,54.900000000000006
REPCHRISPAPPAS,Pappas,Democrat,0.5479433112903502,1.6000000000000014
REPANNIEKUSTER,Kuster,Democrat,0.07997537672059589,-2.3999999999999986
DONALDNORCROSS,Norcross,Democrat,-2.8783214434117474,-24.5
FRANKPALLONE,Pallone,Democrat,-2.2515387669959646,-15.600000000000001
REPSIRES,Sires,Democrat,-0.7226103011891362,-54.2
BILLPASCRELL,Pascrell,Democrat,-7.643856189774724,-31.199999999999996
REPDONALDPAYNE,Payne,Democrat,0.11236652307256315,-72.4
REPBONNIE,Watson Coleman,Democrat,-1,-33.2
REPDEBHAALAND,Haaland,Democrat,-1.9268652953697847,-16.5
REPTORRESSMALL,Torres Small,Democrat,4.392317422778761,10.200000000000003
REPBENRAYLUJAN,Luján,Democrat,-0.4150374992788438,-15.099999999999994
REPDINATITUS,Titus,Democrat,-2.5734668618833267,-29
REPSUSIELEE,Lee,Democrat,-2.5820799921880346,1
REPHORSFORD,Horsford,Democrat,-2.0588936890535687,-4.899999999999999
REPLEEZELDIN,Zeldin,Republican,1.2479275134435854,12.299999999999997
REPPETEKING,King,Republican,0.2630344058337938,9.100000000000001
REPKATHLEENRICE,Rice,Democrat,-0.45997273074249273,-9.600000000000001
REPGREGORYMEEKS,Meeks,Democrat,-3.857259827883918,-73
REPGRACEMENG,Meng,Democrat,1.6571826601284232,-32.99999999999999
NYDIAVELAZQUEZ,Velázquez,Democrat,0.28332916805164143,-76.5
REPJEFFRIES,Jeffries,Democrat,-6.265344566520995,-71.1
REPYVETTECLARKE,Clarke,Democrat,-1.7661119398257228,-69.1
REPJERRYNADLER,Nadler,Democrat,-0.36215793967589505,-59.5
REPMALONEY,Maloney,Democrat,-2.7858751946471525,-69.8
REPESPAILLAT,Espaillat,Democrat,-1.1778817252706555,-86.89999999999999
REPJOSESERRANO,Serrano,Democrat,-1.5022599113909068,-88.89999999999999
REPELIOTENGEL,Engel,Democrat,-1.6989977439671857,-52.599999999999994
NITALOWEY,Lowey,Democrat,-0.7369655941662062,-20.200000000000003
REPSEANMALONEY,Maloney,Democrat,-2.139235797371172,1.8999999999999986
